id,keyword,companyname
438,ESSARSHPNG,Essar Shipping Limited
439,ESTER,Ester Industries Limited
440,EUROTEXIND,Eurotex Industries and Exports Limited
441,EVEREADY,Eveready Industries India Limited
442,EVERESTIND,Everest Industries Limited
443,EXCEL,Excel Realty N Infra Limited
444,EXCELINDUS,Excel Industries Limited
445,EXIDEIND,Exide Industries Limited
446,EXPLEOSOL,Expleo Solutions Limited
447,FACT,Fertilizers and Chemicals Travancore Limited
448,FAIRCHEMOR,Fairchem Organics Limited
449,FCL,Fineotex Chemical Limited
450,FCONSUMER,Future Consumer Limited
451,FCSSOFT,FCS Software Solutions Limited
452,FDC,FDC Limited
453,FEDERALBNK,The Federal Bank  Limited
454,FEL,Future Enterprises Limited
455,FELDVR,Future Enterprises Limited
456,FIEMIND,Fiem Industries Limited
457,FILATEX,Filatex India Limited
458,FINCABLES,Finolex Cables Limited
459,FINEORG,Fine Organic Industries Limited
460,FINPIPE,Finolex Industries Limited
461,FLEXITUFF,Flexituff Ventures International Limited
462,FLFL,Future Lifestyle Fashions Limited
463,FLUOROCHEM,Gujarat Fluorochemicals Limited
464,FMGOETZE,Federal-Mogul Goetze (India) Limited.
465,FMNL,Future Market Networks Limited
466,FORCEMOT,FORCE MOTORS LTD
467,FORTIS,Fortis Healthcare Limited
468,FOSECOIND,Foseco India Limited
469,FRETAIL,Future Retail Limited
470,FSC,Future Supply Chain Solutions Limited
471,FSL,Firstsource Solutions Limited
472,GABRIEL,Gabriel India Limited
473,GAEL,Gujarat Ambuja Exports Limited
474,GAIL,GAIL (India) Limited
475,GAL,Gyscoal Alloys Limited
476,GALAXYSURF,Galaxy Surfactants Limited
477,GALLANTT,Gallantt Metal Limited
478,GALLISPAT,Gallantt Ispat Limited
479,GAMMNINFRA,Gammon Infrastructure Projects Limited
480,GANDHITUBE,Gandhi Special Tubes Limited
481,GANECOS,Ganesha Ecosphere Limited
482,GANESHHOUC,Ganesh Housing Corporation Limited
483,GANGESSECU,Ganges Securities Limited
484,GARFIBRES,Garware Technical Fibres Limited
485,GATI,GATI Limited
486,GAYAHWS,Gayatri Highways Limited
487,GAYAPROJ,Gayatri Projects Limited
488,GDL,Gateway Distriparks Limited
489,GEECEE,GeeCee Ventures Limited
490,GEEKAYWIRE,Geekay Wires Limited
491,GENCON,Generic Engineering Construction and Projects Limited
492,GENESYS,Genesys International Corporation Limited
493,GENUSPAPER,Genus Paper & Boards Limited
494,GENUSPOWER,Genus Power Infrastructures Limited
495,GEOJITFSL,Geojit Financial Services Limited
496,GEPIL,GE Power India Limited
497,GESHIP,The Great Eastern Shipping Company Limited
498,GET&D,GE T&D India Limited
499,GFLLIMITED,GFL Limited
500,GFSTEELS,Grand Foundry Limited
501,GHCL,GHCL Limited
502,GICHSGFIN,GIC Housing Finance Limited
503,GICRE,General Insurance Corporation of India
504,GILLANDERS,Gillanders Arbuthnot & Company Limited
505,GILLETTE,Gillette India Limited
506,GINNIFILA,Ginni Filaments Limited
507,GIPCL,Gujarat Industries Power Company Limited
508,GKWLIMITED,GKW Limited
509,GLAND,Gland Pharma Limited
510,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
511,GLENMARK,Glenmark Pharmaceuticals Limited
512,GLFL,Gujarat Lease Financing Limited
513,GLOBAL,Global Education Limited
514,GLOBALVECT,Global Vectra Helicorp Limited
515,GLOBE,Globe Textiles (India) Limited
516,GLOBUSSPR,Globus Spirits Limited
517,GMBREW,GM Breweries Limited
518,GMDCLTD,Gujarat Mineral Development Corporation Limited
519,GMMPFAUDLR,GMM Pfaudler Limited
520,GMRINFRA,GMR Infrastructure Limited
521,GNA,GNA Axles Limited
522,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
523,GOACARBON,Goa Carbon Limited
524,GOCLCORP,GOCL Corporation Limited
525,GODFRYPHLP,Godfrey Phillips India Limited
526,GODHA,Godha Cabcon & Insulation Limited
527,GODREJAGRO,Godrej Agrovet Limited
528,GODREJCP,Godrej Consumer Products Limited
529,GODREJIND,Godrej Industries Limited
530,GODREJPROP,Godrej Properties Limited
531,GOENKA,Goenka Diamond and Jewels Limited
532,GOKEX,Gokaldas Exports Limited
533,GOKUL,Gokul Refoils and Solvent Limited
534,GOKULAGRO,Gokul Agro Resources Limited
535,GOLDENTOBC,Golden Tobacco Limited
536,GOLDIAM,Goldiam International Limited
537,GOLDTECH,Goldstone Technologies Limited
538,GOODLUCK,Goodluck India Limited
539,GOODYEAR,Goodyear India Limited
540,GPIL,Godawari Power And Ispat limited
541,GPPL,Gujarat Pipavav Port Limited
542,GPTINFRA,GPT Infraprojects Limited
543,GRANULES,Granules India Limited
544,GRAPHITE,Graphite India Limited
545,GRASIM,Grasim Industries Limited
546,GRAVITA,Gravita India Limited
547,GREAVESCOT,Greaves Cotton Limited
548,GREENLAM,Greenlam Industries Limited
549,GREENPANEL,Greenpanel Industries Limited
550,GREENPLY,Greenply Industries Limited
551,GREENPOWER,Orient Green Power Company Limited
552,GRINDWELL,Grindwell Norton Limited
553,GROBTEA,The Grob Tea Company Limited
554,GRPLTD,GRP Limited
555,GRSE,Garden Reach Shipbuilders & Engineers Limited
556,GSCLCEMENT,Gujarat Sidhee Cement Limited
557,GSFC,Gujarat State Fertilizers & Chemicals Limited
558,GSPL,Gujarat State Petronet Limited
559,GSS,GSS Infotech Limited
560,GTL,GTL Limited
561,GTLINFRA,GTL Infrastructure Limited
562,GTNTEX,GTN Textiles Limited
563,GTPL,GTPL Hathway Limited
564,GUFICBIO,Gufic Biosciences Limited
565,GUJALKALI,Gujarat Alkalies and Chemicals Limited
566,GUJAPOLLO,Gujarat Apollo Industries Limited
567,GUJGASLTD,Gujarat Gas Limited
568,GUJRAFFIA,Gujarat Raffia Industries Limited
569,GULFOILLUB,Gulf Oil Lubricants India Limited
570,GULFPETRO,GP Petroleums Limited
571,GULPOLY,Gulshan Polyols Limited
572,HAL,Hindustan Aeronautics Limited
573,HAPPSTMNDS,Happiest Minds Technologies Limited
574,HARRMALAYA,Harrisons  Malayalam Limited
575,HATHWAY,Hathway Cable & Datacom Limited
576,HATSUN,Hatsun Agro Product Limited
577,HAVELLS,Havells India Limited
578,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
579,HBLPOWER,HBL Power Systems Limited
580,HBSL,HB Stockholdings Limited
581,HCC,Hindustan Construction Company Limited
582,HCG,Healthcare Global Enterprises Limited
583,HCL-INSYS,HCL Infosystems Limited
584,HCLTECH,HCL Technologies Limited
585,HDFC,Housing Development Finance Corporation Limited
586,HDFCAMC,HDFC Asset Management Company Limited
587,HDFCBANK,HDFC Bank Limited
588,HDFCLIFE,HDFC Life Insurance Company Limited
589,HDIL,Housing Development and Infrastructure Limited
590,HEG,HEG Limited
591,HEIDELBERG,HeidelbergCement India Limited
592,HEMIPROP,Hemisphere Properties India Limited
593,HERANBA,Heranba Industries Limited
594,HERCULES,Hercules Hoists Limited
595,HERITGFOOD,Heritage Foods Limited
596,HEROMOTOCO,Hero MotoCorp Limited
597,HESTERBIO,Hester Biosciences Limited
598,HEXATRADEX,Hexa Tradex Limited
599,HFCL,HFCL Limited
600,HGINFRA,H.G. Infra Engineering Limited
601,HGS,Hinduja Global Solutions Limited
602,HIKAL,Hikal Limited
603,HIL,HIL Limited
604,HILTON,Hilton Metal Forging Limited
605,HIMATSEIDE,Himatsingka Seide Limited
606,HINDALCO,Hindalco Industries Limited
607,HINDCOMPOS,Hindustan Composites Limited
608,HINDCOPPER,Hindustan Copper Limited
609,HINDMOTORS,Hindustan Motors Limited
610,HINDNATGLS,Hindusthan National Glass & Industries Limited
611,HINDOILEXP,Hindustan Oil Exploration Company Limited
612,HINDPETRO,Hindustan Petroleum Corporation Limited
613,HINDUNILVR,Hindustan Unilever Limited
614,HINDZINC,Hindustan Zinc Limited
615,HIRECT,Hind Rectifiers Limited
616,HISARMETAL,Hisar Metal Industries Limited
617,HITECH,Hi-Tech Pipes Limited
618,HITECHCORP,Hitech Corporation Limited
619,HITECHGEAR,The Hi-Tech Gears Limited
620,HLEGLAS,HLE Glascoat Limited
